date,cl
2018-01-01,1
2018-01-02,2.3
2018-01-03,3.6
2018-01-04,6.5
2018-01-05,3.6
2018-01-06,0
2018-01-07,7.5
2018-01-08,9
2018-01-09,3.5
2018-01-10,0.9
2018-01-11,0.4
2018-01-12,2.3
2018-01-13,8.3
2018-01-14,7
2018-01-15,7.6
2018-01-16,9.8
2018-01-17,7.4
2018-01-18,8.6
2018-01-19,3.8
2018-01-20,5.1
2018-01-21,2
2018-01-22,9.4
2018-01-23,0.3
2018-01-24,0
2018-01-25,3.6
2018-01-26,0
2018-01-27,1.8
2018-01-28,3.3
2018-01-29,0.1
2018-01-30,5.8
2018-01-31,7.4
2018-02-01,0
2018-02-02,1.9
2018-02-03,1.3
2018-02-04,0
2018-02-05,0.1
2018-02-06,1.1
2018-02-07,1
2018-02-08,0.3
2018-02-09,9.1
2018-02-10,6.5
2018-02-11,3.5
2018-02-12,4.1
2018-02-13,3.1
2018-02-14,7.4
2018-02-15,3.8
2018-02-16,3.3
2018-02-17,1.9
2018-02-18,7.4
2018-02-19,6.1
2018-02-20,5
2018-02-21,1.6
2018-02-22,5.8
2018-02-23,7
2018-02-24,6.1
2018-02-25,2.4
2018-02-26,1.3
2018-02-27,8.5
2018-02-28,10
2018-03-01,4.4
2018-03-02,2.4
2018-03-03,4.1
2018-03-04,10
2018-03-05,5.4
2018-03-06,2.1
2018-03-07,8.6
2018-03-08,8.1
2018-03-09,5.9
2018-03-10,4.6
2018-03-11,2.8
2018-03-12,3.3
2018-03-13,5.9
2018-03-14,6
2018-03-15,9.8
2018-03-16,1.4
2018-03-17,4.4
2018-03-18,9.8
2018-03-19,9.5
2018-03-20,6.9
2018-03-21,9.9
2018-03-22,1.5
2018-03-23,4.6
2018-03-24,6.3
2018-03-25,3.4
2018-03-26,3.6
2018-03-27,2.6
2018-03-28,4.3
2018-03-29,4.9
2018-03-30,0.5
2018-03-31,4.4
2018-04-01,9.1
2018-04-02,6.1
2018-04-03,9.1
2018-04-04,6.1
2018-04-05,9.9
2018-04-06,8.9
2018-04-07,5.1
