date,hi
2018-01-01,-1.28
2018-01-02,-1.49
2018-01-03,-4.48
2018-01-04,-4.8
2018-01-05,-2.91
2018-01-06,-2.75
2018-01-07,-1.21
2018-01-08,1.42
2018-01-09,-3.87
2018-01-10,-7.03
2018-01-11,-10.77
2018-01-12,-10.7
2018-01-13,-4.56
2018-01-14,0.02
2018-01-15,4.71
2018-01-16,3.28
2018-01-17,4.55
2018-01-18,2.32
2018-01-19,1.05
2018-01-20,2.26
2018-01-21,0.39
2018-01-22,0.44
2018-01-23,-10.92
2018-01-24,-14.08
2018-01-25,-14
2018-01-26,-14.74
2018-01-27,-10.43
2018-01-28,-6.03
2018-01-29,-8.53
2018-01-30,-5.91
2018-01-31,-2.19
2018-02-01,-3.87
2018-02-02,-2.65
2018-02-03,-6.62
2018-02-04,-9.52
2018-02-05,-9.4
2018-02-06,-10.01
2018-02-07,-8.33
2018-02-08,-4.59
2018-02-09,-0.05
2018-02-10,0.12
2018-02-11,-5.99
2018-02-12,-5.99
2018-02-13,-1.33
2018-02-14,3.6
2018-02-15,-0.45
2018-02-16,-1.09
2018-02-17,-2.89
2018-02-18,-0.68
2018-02-19,1.73
2018-02-20,1.1
2018-02-21,-0.92
2018-02-22,0.99
2018-02-23,3.95
2018-02-24,2.76
2018-02-25,1.92
2018-02-26,2.73
2018-02-27,4.01
2018-02-28,4.85
2018-03-01,0.45
2018-03-02,-1.15
2018-03-03,7.18
2018-03-04,9.83
2018-03-05,6.04
2018-03-06,4.29
2018-03-07,6.19
2018-03-08,4.73
2018-03-09,4.6
2018-03-10,4.35
2018-03-11,6.61
2018-03-12,7.79
2018-03-13,11.65
2018-03-14,16.78
2018-03-15,13
2018-03-16,7.35
2018-03-17,6.38
2018-03-18,8.07
2018-03-19,8.02
2018-03-20,5.04
2018-03-21,2.13
2018-03-22,4.85
2018-03-23,6.08
2018-03-24,7.48
2018-03-25,9.63
2018-03-26,10.8
2018-03-27,13.08
2018-03-28,13.97
2018-03-29,15.55
2018-03-30,14.67
2018-03-31,13.94
