date,pi
2018-01-01,-7.2
2018-01-02,-9.5
2018-01-03,-12.7
2018-01-04,-13.8
2018-01-05,-9.2
2018-01-06,-9.5
2018-01-07,-9.2
2018-01-08,-7
2018-01-09,-12.7
2018-01-10,-17.8
2018-01-11,-20.4
2018-01-12,-22.4
2018-01-13,-10.5
2018-01-14,-8
2018-01-15,0.3
2018-01-16,-0.9
2018-01-17,0.2
2018-01-18,-3.5
2018-01-19,-5.9
2018-01-20,-3.1
2018-01-21,-5.8
2018-01-22,-11.6
2018-01-23,-23.8
2018-01-24,-25.6
2018-01-25,-26.1
2018-01-26,-28.1
2018-01-27,-21.1
2018-01-28,-15
2018-01-29,-17.7
2018-01-30,-15.8
2018-01-31,-8.1
2018-02-01,-12.6
2018-02-02,-11.8
2018-02-03,-18
2018-02-04,-21.1
2018-02-05,-19
2018-02-06,-21.1
2018-02-07,-18
2018-02-08,-13.1
2018-02-09,-7.5
2018-02-10,-12.5
2018-02-11,-15
2018-02-12,-16.1
2018-02-13,-11.2
2018-02-14,-6.6
2018-02-15,-8.2
2018-02-16,-8.7
2018-02-17,-13.2
2018-02-18,-9
2018-02-19,-4.5
2018-02-20,-6.8
2018-02-21,-9.6
2018-02-22,-6.7
2018-02-23,-2.8
2018-02-24,-4.3
2018-02-25,-4
2018-02-26,-5.2
2018-02-27,-0.6
2018-02-28,-1.9
2018-03-01,-11
2018-03-02,-11
2018-03-03,-2.8
2018-03-04,5.4
2018-03-05,-1.4
2018-03-06,-3.1
2018-03-07,-1.3
2018-03-08,-0.8
2018-03-09,-0.7
2018-03-10,-1.4
2018-03-11,0.1
2018-03-12,0.7
2018-03-13,3.8
2018-03-14,
2018-03-15,6.7
2018-03-16,0.1
2018-03-17,-1.3
2018-03-18,3.4
2018-03-19,3.2
2018-03-20,-2.7
2018-03-21,-3
2018-03-22,-2.9
2018-03-23,-0.8
2018-03-24,2.5
2018-03-25,3.1
2018-03-26,3
2018-03-27,6.4
2018-03-28,7.9
2018-03-29,
2018-03-30,
2018-03-31,
2018-04-01,
2018-04-02,
2018-04-03,
2018-04-04,7.7
2018-04-05,3.6
2018-04-06,-1.6
